Date,SWL,TP
01/01/2012,1.745,2
02/01/2012,1.756,0.2
03/01/2012,1.76,0
04/01/2012,1.782,4.6
05/01/2012,1.749,5
06/01/2012,1.752,0.8
07/01/2012,1.758,1
08/01/2012,1.762,0
09/01/2012,1.767,0.4
10/01/2012,1.766,0
11/01/2012,1.764,0.4
12/01/2012,1.773,6.2
13/01/2012,1.788,6.4
14/01/2012,1.8,0
15/01/2012,1.806,0
16/01/2012,1.781,1
17/01/2012,1.782,5
18/01/2012,1.798,0
19/01/2012,1.792,2
20/01/2012,1.793,0
21/01/2012,1.792,0
22/01/2012,1.793,0
23/01/2012,1.798,3.2
24/01/2012,1.816,0
25/01/2012,1.816,0
26/01/2012,1.824,7
27/01/2012,1.843,5.8
28/01/2012,1.856,2
29/01/2012,1.863,0
30/01/2012,1.86,1
31/01/2012,1.863,2.6
01/02/2012,1.871,0
02/02/2012,1.874,0
03/02/2012,1.889,0
04/02/2012,1.9,0
05/02/2012,1.895,0
06/02/2012,1.892,0
07/02/2012,1.88,0
08/02/2012,1.881,0
09/02/2012,1.878,0
10/02/2012,1.873,0.2
11/02/2012,1.87,0
12/02/2012,1.88,0
13/02/2012,1.865,0
14/02/2012,1.863,3
15/02/2012,1.861,0.2
16/02/2012,1.862,1.8
17/02/2012,1.868,0
18/02/2012,1.865,0
19/02/2012,1.864,0
20/02/2012,1.865,0
21/02/2012,1.858,0.8
22/02/2012,1.869,0
23/02/2012,1.866,0
24/02/2012,1.865,13
25/02/2012,1.878,0
26/02/2012,1.889,0
27/02/2012,1.863,4
28/02/2012,1.86,0
29/02/2012,1.851,2
01/03/2012,1.852,7
02/03/2012,1.853,1
03/03/2012,1.864,0
04/03/2012,1.839,0
05/03/2012,1.856,0
06/03/2012,1.851,0
07/03/2012,1.847,0
08/03/2012,1.894,2.2
09/03/2012,1.916,8
10/03/2012,1.94,0
11/03/2012,1.964,0
12/03/2012,1.998,3
13/03/2012,2.065,0
14/03/2012,2.123,0.4
15/03/2012,2.159,0
16/03/2012,2.249,0.4
17/03/2012,2.3,0
18/03/2012,2.344,0
19/03/2012,2.407,0
20/03/2012,2.468,0
21/03/2012,2.507,0
22/03/2012,2.534,0
23/03/2012,2.535,0
24/03/2012,2.523,2.6
25/03/2012,2.513,0
26/03/2012,2.445,0
27/03/2012,2.418,3.4
28/03/2012,2.375,1.2
29/03/2012,2.294,0
30/03/2012,2.224,0
31/03/2012,2.184,0
01/04/2012,2.153,2.8
02/04/2012,2.09,0
03/04/2012,2.04,0
04/04/2012,2.007,0
05/04/2012,1.958,0
06/04/2012,1.933,0
07/04/2012,1.914,0
08/04/2012,1.895,0
09/04/2012,1.883,1
10/04/2012,1.863,3
11/04/2012,1.833,0.4
12/04/2012,1.822,0
13/04/2012,1.817,0
14/04/2012,1.807,0
15/04/2012,1.799,0
16/04/2012,1.789,0.8
17/04/2012,1.773,0
18/04/2012,1.749,0
19/04/2012,1.746,1
20/04/2012,1.717,7.2
21/04/2012,1.713,4.4
22/04/2012,1.713,13.6
23/04/2012,1.722,14
24/04/2012,1.802,4
25/04/2012,1.801,0
26/04/2012,1.816,2.4
27/04/2012,1.82,0
28/04/2012,1.852,0
29/04/2012,1.857,0
30/04/2012,1.869,1.2
01/05/2012,1.868,0
02/05/2012,1.864,0
03/05/2012,1.87,4.2
04/05/2012,1.876,0
05/05/2012,1.869,0
06/05/2012,1.885,0
07/05/2012,1.887,6.4
08/05/2012,1.913,10
09/05/2012,1.934,12.2
10/05/2012,1.93,0.4
11/05/2012,1.939,0
12/05/2012,1.953,6.6
13/05/2012,1.958,0
14/05/2012,1.968,0
15/05/2012,1.963,0
16/05/2012,1.952,1
17/05/2012,1.927,0
18/05/2012,1.918,0
19/05/2012,1.898,0
20/05/2012,1.879,0
21/05/2012,1.862,0
22/05/2012,1.828,4.2
23/05/2012,1.817,0
24/05/2012,1.808,0
25/05/2012,1.798,0.2
26/05/2012,1.747,0
27/05/2012,1.732,0
28/05/2012,1.718,0
29/05/2012,1.707,1.4
30/05/2012,1.693,0
31/05/2012,1.674,0
01/06/2012,1.659,25.8
02/06/2012,1.701,3
03/06/2012,1.699,5.2
04/06/2012,1.668,0
05/06/2012,1.682,1.6
06/06/2012,1.687,0
07/06/2012,1.696,0
08/06/2012,1.681,8.6
09/06/2012,1.668,0
10/06/2012,1.66,0
11/06/2012,1.653,0
12/06/2012,1.658,4.4
13/06/2012,1.619,0
14/06/2012,1.616,0
15/06/2012,1.613,0
16/06/2012,1.674,0
17/06/2012,1.731,0
18/06/2012,1.646,4
19/06/2012,1.601,0
20/06/2012,1.589,0
21/06/2012,1.59,0
22/06/2012,1.573,0.8
23/06/2012,1.558,0
24/06/2012,1.568,4
25/06/2012,1.563,2.8
26/06/2012,1.553,0
27/06/2012,1.542,0
28/06/2012,1.554,2.4
29/06/2012,1.565,0
30/06/2012,1.558,0
01/07/2012,1.539,0
02/07/2012,1.536,0
03/07/2012,1.539,0
04/07/2012,1.538,0
05/07/2012,1.551,0
06/07/2012,1.581,0.4
07/07/2012,1.563,0
08/07/2012,1.548,0
09/07/2012,1.571,0
10/07/2012,1.564,0
11/07/2012,1.568,0
12/07/2012,1.563,0
13/07/2012,1.557,0
14/07/2012,1.554,0
15/07/2012,1.552,0
16/07/2012,1.552,0.2
17/07/2012,1.561,13.2
18/07/2012,1.552,0
19/07/2012,1.542,0
20/07/2012,1.529,0
21/07/2012,1.551,0
22/07/2012,1.549,0
23/07/2012,1.56,12.2
24/07/2012,1.536,0
25/07/2012,1.567,0.2
26/07/2012,1.581,2.6
27/07/2012,1.578,0
28/07/2012,1.557,0
29/07/2012,1.572,0
30/07/2012,1.547,0
31/07/2012,1.535,0.2
01/08/2012,1.53,0
02/08/2012,1.56,0
03/08/2012,1.561,0
04/08/2012,1.529,0
05/08/2012,1.551,9.6
06/08/2012,1.535,0
07/08/2012,1.564,0.8
08/08/2012,1.547,0
09/08/2012,1.546,13.6
10/08/2012,1.557,5.4
11/08/2012,1.542,0
12/08/2012,1.545,0
13/08/2012,1.542,0.8
14/08/2012,1.542,3.2
15/08/2012,1.543,0
16/08/2012,1.545,0
17/08/2012,1.549,1.4
18/08/2012,1.538,0
19/08/2012,1.537,5.4
20/08/2012,1.549,0
21/08/2012,1.555,0
22/08/2012,1.555,0
23/08/2012,1.561,0
24/08/2012,1.558,0
25/08/2012,1.577,0
26/08/2012,1.573,0
27/08/2012,1.576,0.6
28/08/2012,1.565,0
29/08/2012,1.557,0
30/08/2012,1.569,0
31/08/2012,1.573,2
01/09/2012,1.533,0
02/09/2012,1.556,0
03/09/2012,1.565,0
04/09/2012,1.594,30.2
05/09/2012,1.574,0
06/09/2012,1.568,0
07/09/2012,1.558,4
08/09/2012,1.653,83.6
09/09/2012,1.668,0
10/09/2012,1.624,0
11/09/2012,1.626,0
12/09/2012,1.617,0
13/09/2012,1.602,0
14/09/2012,1.589,13.8
15/09/2012,1.601,0.6
16/09/2012,1.587,0
17/09/2012,1.591,0
18/09/2012,1.578,8.8
19/09/2012,1.576,0
20/09/2012,1.582,0
21/09/2012,1.57,20.8
22/09/2012,1.598,3.8
23/09/2012,1.598,0
24/09/2012,1.593,0.4
25/09/2012,1.583,0
26/09/2012,1.568,0
27/09/2012,1.554,0
28/09/2012,1.564,0
29/09/2012,1.571,0
30/09/2012,1.564,14.2
01/10/2012,1.59,0
02/10/2012,1.589,0
03/10/2012,1.58,0
04/10/2012,1.592,0
05/10/2012,1.591,10.2
06/10/2012,1.594,1
07/10/2012,1.584,0
08/10/2012,1.583,0
09/10/2012,1.582,0
10/10/2012,1.584,1.2
11/10/2012,1.576,1
12/10/2012,1.553,0
13/10/2012,1.57,14.8
14/10/2012,1.571,7.4
15/10/2012,1.61,0.8
16/10/2012,1.574,0
17/10/2012,1.567,0
18/10/2012,1.567,2.8
19/10/2012,1.562,6.6
20/10/2012,1.58,0.4
21/10/2012,1.571,0
22/10/2012,1.556,0
23/10/2012,1.547,0
24/10/2012,1.542,0
25/10/2012,1.55,0
26/10/2012,1.554,0
27/10/2012,1.531,10.8
28/10/2012,1.535,3.4
29/10/2012,1.532,2.8
30/10/2012,1.539,1.8
31/10/2012,1.58,5.6
01/11/2012,1.585,0
02/11/2012,1.595,0
03/11/2012,1.59,0
04/11/2012,1.594,0
05/11/2012,1.602,0
06/11/2012,1.61,0
07/11/2012,1.599,0
08/11/2012,1.605,0
09/11/2012,1.613,0
10/11/2012,1.606,0
11/11/2012,1.619,3
12/11/2012,1.656,6.8
13/11/2012,1.651,0
14/11/2012,1.624,0
15/11/2012,1.624,0
16/11/2012,1.631,0
17/11/2012,1.63,0
18/11/2012,1.632,0
19/11/2012,1.629,0
20/11/2012,1.625,0
21/11/2012,1.626,0
22/11/2012,1.639,0
23/11/2012,1.653,0
24/11/2012,1.63,0
25/11/2012,1.616,4.4
26/11/2012,1.664,0.4
27/11/2012,1.689,0
28/11/2012,1.639,0.2
29/11/2012,1.608,0.4
30/11/2012,1.598,0
01/12/2012,1.6,0
02/12/2012,1.609,0
03/12/2012,1.609,0.6
04/12/2012,1.621,3.4
05/12/2012,1.619,0
06/12/2012,1.623,0
07/12/2012,1.627,2.4
08/12/2012,1.634,5.6
09/12/2012,1.64,2.6
10/12/2012,1.654,5.2
11/12/2012,1.662,0
12/12/2012,1.664,0
13/12/2012,1.664,0
14/12/2012,1.664,0
15/12/2012,1.657,0
16/12/2012,1.656,0.8
17/12/2012,1.665,12.6
18/12/2012,1.685,11
19/12/2012,1.702,0
20/12/2012,1.703,11
21/12/2012,1.739,17
22/12/2012,1.765,1.2
23/12/2012,1.758,3.8
24/12/2012,1.754,0
25/12/2012,1.751,0
